date,price,ou_theta,ou_half_life,support_level,support_hold_rate_pct,support_max_streak,drawdown_peak,drawdown_trough,drawdown_pct
2026-04-17,155.0,161.0,17.0,140.0,98.0,48,181.5,136.5,-24.8
2026-04-17,155.0,161.0,17.0,140.0,98.0,48,181.5,136.5,-24.8
2026-04-29,139.5,151.0,23.0,140.0,97.0,40,191.0,136.5,-28.5
