date,price,ou_theta,ou_half_life,support_level,support_hold_rate_pct,support_max_streak,drawdown_peak,drawdown_trough,drawdown_pct
2026-04-17,519.0,467.0,11.0,430.0,88.0,23,540.0,519.0,-3.9
2026-04-17,505.0,462.0,10.0,430.0,88.0,23,540.0,505.0,-6.5
